game_id,date,honest_home_prob,honest_pick,actual,honest_correct,home_rest_penalty,away_rest_penalty
20251130_5_2,20251130,0.55,home,away,False,-15.0,-46.0
20251130_23_29,20251130,0.5403683882955227,home,away,False,-15.0,-15.0
20251130_26_10,20251130,0.13452922153788416,away,away,True,-15.0,0.0
20251130_16_24,20251130,0.55,home,home,True,-46.0,-15.0
20251130_13_3,20251130,0.9,home,home,True,-15.0,-46.0
20251201_27_15,20251201,0.29151560073611726,away,home,False,0.0,-15.0
20251201_26_10,20251201,0.12941666107332594,away,home,False,-46.0,-46.0
20251201_8_1,20251201,0.7462967053516496,home,home,True,-15.0,-46.0
20251201_13_21,20251201,0.8734709579622916,home,away,False,-46.0,-15.0
20251201_11_5,20251201,0.5472199159329278,home,away,False,-15.0,-46.0
20251201_7_6,20251201,0.9,home,away,False,-15.0,-15.0
20251201_14_12,20251201,0.65,home,home,True,-15.0,-15.0
20251201_19_4,20251201,0.8385516165973071,home,home,True,0.0,-15.0
20251201_17_30,20251201,0.55,home,home,True,-15.0,-15.0
20251202_24_29,20251202,0.72379668452374,home,home,True,-15.0,-15.0
20251202_28_22,20251202,0.65,home,home,True,-15.0,-15.0
20251202_3_16,20251202,0.29719734793998565,away,away,True,-15.0,-15.0
20251202_2_18,20251202,0.55,home,home,True,-15.0,-15.0
20251202_20_27,20251202,0.65,home,home,True,-15.0,-46.0
20251202_9_25,20251202,0.32979830862864956,away,away,True,0.0,-15.0
20251203_4_17,20251203,0.7755169696462909,home,away,False,-15.0,-15.0
20251203_1_12,20251203,0.55,home,away,False,-15.0,-15.0
20251203_15_8,20251203,0.7747635215263189,home,home,True,-15.0,-15.0
20251203_18_30,20251203,0.9,home,home,True,-46.0,-15.0
20251203_5_22,20251203,0.9,home,away,False,-15.0,-46.0
20251203_11_7,20251203,0.2987447854400219,away,away,True,-15.0,-15.0
20251203_10_23,20251203,0.8216549872462966,home,home,True,-15.0,0.0
20251203_19_24,20251203,0.65,home,away,False,-15.0,-46.0
20251203_6_14,20251203,0.5312267904765884,home,home,True,-15.0,-15.0
20251204_3_16,20251204,0.2944943119680279,away,away,True,-15.0,-15.0
20251204_20_9,20251204,0.32521213528591286,away,home,False,-15.0,-15.0
20251204_28_13,20251204,0.3193301113547322,away,away,True,-15.0,0.0
