rank,team_id,team_name,finished,reverted,delta,rookies,preseason,elo_change
1,25,Oklahoma City Thunder,1770.0,1621.5,11.4,5,1630.6,-139.4
2,24,San Antonio Spurs,1717.8,1598.0,11.8,4,1607.4,-110.4
3,2,Boston Celtics,1672.9,1577.8,-0.7,4,1577.2,-95.7
4,18,New York Knicks,1633.7,1560.1,4.8,2,1563.9,-69.8
5,7,Denver Nuggets,1611.3,1550.1,15.8,3,1562.7,-48.6
6,5,Cleveland Cavaliers,1637.0,1561.6,-5.2,2,1557.4,-79.6
7,8,Detroit Pistons,1653.1,1568.9,-18.3,2,1554.3,-98.8
8,30,Charlotte Hornets,1565.5,1529.5,14.5,4,1541.1,-24.4
9,10,Houston Rockets,1576.2,1534.3,8.3,2,1540.9,-35.3
10,28,Toronto Raptors,1520.2,1509.1,39.8,3,1540.9,20.7
11,22,Portland Trail Blazers,1492.0,1496.4,44.6,0,1532.1,40.1
12,20,Philadelphia 76ers,1486.5,1493.9,44.6,2,1529.6,43.1
13,14,Miami Heat,1505.5,1502.5,32.6,3,1528.6,23.1
14,19,Orlando Magic,1517.5,1507.9,19.2,1,1523.3,5.8
15,16,Minnesota Timberwolves,1604.5,1547.0,-42.8,2,1512.8,-91.7
16,21,Phoenix Suns,1532.1,1514.4,-9.3,1,1507.0,-25.1
17,1,Atlanta Hawks,1544.3,1519.9,-23.5,3,1501.1,-43.2
18,9,Golden State Warriors,1486.1,1493.7,1.9,2,1495.2,9.1
19,13,Los Angeles Lakers,1591.2,1541.1,-76.0,3,1480.3,-110.9
20,4,Chicago Bulls,1394.9,1452.7,24.1,4,1472.0,77.1
21,3,New Orleans Pelicans,1414.4,1461.5,-2.7,2,1459.3,44.9
22,11,Indiana Pacers,1312.1,1415.5,35.4,1,1443.8,131.7
23,12,Los Angeles Clippers,1556.2,1525.3,-111.1,4,1436.4,-119.8
24,27,Washington Wizards,1234.5,1380.5,56.4,2,1425.6,191.1
25,23,Sacramento Kings,1325.1,1421.3,3.0,3,1423.7,98.6
26,17,Brooklyn Nets,1275.9,1399.1,29.4,3,1422.6,146.7
27,15,Milwaukee Bucks,1402.5,1456.1,-44.6,4,1420.4,17.9
28,6,Dallas Mavericks,1370.8,1441.9,-27.1,5,1420.2,49.4
29,29,Memphis Grizzlies,1372.5,1442.6,-30.2,3,1418.4,45.9
30,26,Utah Jazz,1285.8,1403.6,-5.8,2,1399.0,113.2
