season,team_id,team_name,delta,source
2001,1,Atlanta Hawks,3.3,history
2001,2,Boston Celtics,11.07,history
2001,3,New Orleans Pelicans,-9.25,history
2001,4,Chicago Bulls,-11.88,history
2001,5,Cleveland Cavaliers,-10.26,history
2001,6,Dallas Mavericks,2.69,history
2001,7,Denver Nuggets,-13.55,history
2001,8,Detroit Pistons,-7.4,history
2001,9,Golden State Warriors,-2.78,history
2001,10,Houston Rockets,-9.0,history
2001,11,Indiana Pacers,-2.56,history
2001,12,LA Clippers,12.36,history
2001,13,Los Angeles Lakers,2.12,history
2001,14,Miami Heat,21.93,history
2001,15,Milwaukee Bucks,-0.81,history
2001,16,Minnesota Timberwolves,0.81,history
2001,17,Brooklyn Nets,20.76,history
2001,18,New York Knicks,5.39,history
2001,19,Orlando Magic,15.72,history
2001,20,Philadelphia 76ers,0.31,history
2001,21,Phoenix Suns,-4.38,history
2001,22,Portland Trail Blazers,-1.82,history
2001,23,Sacramento Kings,-15.64,history
2001,24,San Antonio Spurs,-16.05,history
2001,25,Oklahoma City Thunder,0.23,history
2001,26,Utah Jazz,-2.61,history
2001,27,Washington Wizards,6.74,history
2001,28,Toronto Raptors,14.52,history
2001,29,Memphis Grizzlies,-9.95,history
2002,1,Atlanta Hawks,-2.96,history
2002,2,Boston Celtics,-2.24,history
2002,3,New Orleans Pelicans,-13.21,history
2002,4,Chicago Bulls,19.99,history
2002,5,Cleveland Cavaliers,-13.17,history
2002,6,Dallas Mavericks,17.64,history
2002,7,Denver Nuggets,9.0,history
2002,8,Detroit Pistons,-12.3,history
2002,9,Golden State Warriors,-8.99,history
2002,10,Houston Rockets,11.03,history
2002,11,Indiana Pacers,-2.35,history
2002,12,LA Clippers,27.45,history
2002,13,Los Angeles Lakers,-30.94,history
2002,14,Miami Heat,12.57,history
2002,15,Milwaukee Bucks,-2.36,history
2002,16,Minnesota Timberwolves,-6.32,history
2002,17,Brooklyn Nets,15.39,history
2002,18,New York Knicks,-4.86,history
2002,19,Orlando Magic,-4.56,history
2002,20,Philadelphia 76ers,-6.24,history
2002,21,Phoenix Suns,10.29,history
2002,22,Portland Trail Blazers,-22.99,history
2002,23,Sacramento Kings,11.69,history
2002,24,San Antonio Spurs,8.78,history
2002,25,Oklahoma City Thunder,11.89,history
2002,26,Utah Jazz,-8.38,history
2002,27,Washington Wizards,12.92,history
2002,28,Toronto Raptors,-25.58,history
2002,29,Memphis Grizzlies,-1.16,history
2003,1,Atlanta Hawks,2.69,history
2003,2,Boston Celtics,29.0,history
2003,3,New Orleans Pelicans,-1.42,history
2003,4,Chicago Bulls,-5.74,history
2003,5,Cleveland Cavaliers,12.85,history
2003,6,Dallas Mavericks,-42.12,history
2003,7,Denver Nuggets,25.65,history
2003,8,Detroit Pistons,34.09,history
2003,9,Golden State Warriors,-51.77,history
2003,10,Houston Rockets,-5.25,history
2003,11,Indiana Pacers,16.45,history
2003,12,LA Clippers,-10.53,history
2003,13,Los Angeles Lakers,5.46,history
2003,14,Miami Heat,23.25,history
2003,15,Milwaukee Bucks,-18.03,history
2003,16,Minnesota Timberwolves,26.76,history
2003,17,Brooklyn Nets,12.23,history
2003,18,New York Knicks,33.11,history
2003,19,Orlando Magic,7.06,history
2003,20,Philadelphia 76ers,-3.52,history
2003,21,Phoenix Suns,-8.99,history
2003,22,Portland Trail Blazers,-6.56,history
2003,23,Sacramento Kings,-30.8,history
2003,24,San Antonio Spurs,-13.04,history
2003,25,Oklahoma City Thunder,7.58,history
2003,26,Utah Jazz,-48.14,history
2003,27,Washington Wizards,34.65,history
2003,28,Toronto Raptors,-25.48,history
2003,29,Memphis Grizzlies,0.57,history
2004,1,Atlanta Hawks,-49.25,history
2004,2,Boston Celtics,50.22,history
2004,3,New Orleans Pelicans,13.48,history
2004,4,Chicago Bulls,19.77,history
2004,5,Cleveland Cavaliers,-22.97,history
2004,6,Dallas Mavericks,7.82,history
2004,7,Denver Nuggets,-0.85,history
2004,8,Detroit Pistons,26.4,history
2004,9,Golden State Warriors,-16.16,history
2004,10,Houston Rockets,40.14,history
2004,11,Indiana Pacers,-16.07,history
2004,12,LA Clippers,32.95,history
2004,13,Los Angeles Lakers,-85.91,history
2004,14,Miami Heat,51.69,history
2004,15,Milwaukee Bucks,-0.17,history
2004,16,Minnesota Timberwolves,-4.11,history
2004,17,Brooklyn Nets,-79.89,history
2004,18,New York Knicks,21.11,history
2004,19,Orlando Magic,1.11,history
2004,20,Philadelphia 76ers,9.95,history
2004,21,Phoenix Suns,5.94,history
2004,22,Portland Trail Blazers,-9.86,history
2004,23,Sacramento Kings,-7.74,history
2004,24,San Antonio Spurs,25.99,history
2004,25,Oklahoma City Thunder,-19.83,history
2004,26,Utah Jazz,26.49,history
2004,27,Washington Wizards,-19.72,history
2004,28,Toronto Raptors,2.42,history
2004,29,Memphis Grizzlies,-2.99,history
2005,1,Atlanta Hawks,-20.17,history
2005,2,Boston Celtics,0.26,history
2005,3,New Orleans Pelicans,7.77,history
2005,4,Chicago Bulls,-2.92,history
2005,5,Cleveland Cavaliers,56.67,history
2005,6,Dallas Mavericks,38.21,history
2005,7,Denver Nuggets,-6.29,history
2005,8,Detroit Pistons,-11.95,history
2005,9,Golden State Warriors,2.21,history
2005,10,Houston Rockets,26.06,history
2005,11,Indiana Pacers,5.71,history
2005,12,LA Clippers,-15.56,history
2005,13,Los Angeles Lakers,48.16,history
2005,14,Miami Heat,12.63,history
2005,15,Milwaukee Bucks,31.01,history
2005,16,Minnesota Timberwolves,36.05,history
2005,17,Brooklyn Nets,-31.93,history
2005,18,New York Knicks,-20.02,history
2005,19,Orlando Magic,2.8,history
2005,20,Philadelphia 76ers,-1.37,history
2005,21,Phoenix Suns,6.97,history
2005,22,Portland Trail Blazers,28.47,history
2005,23,Sacramento Kings,-13.42,history
2005,24,San Antonio Spurs,-45.03,history
2005,25,Oklahoma City Thunder,-6.53,history
2005,26,Utah Jazz,-2.39,history
2005,27,Washington Wizards,-54.73,history
2005,28,Toronto Raptors,-29.37,history
2005,29,Memphis Grizzlies,-42.01,history
2005,30,Charlotte Hornets,0.72,history
2006,1,Atlanta Hawks,12.81,history
2006,2,Boston Celtics,8.53,history
2006,3,New Orleans Pelicans,-1.22,history
2006,4,Chicago Bulls,30.91,history
2006,5,Cleveland Cavaliers,-25.78,history
2006,6,Dallas Mavericks,-11.14,history
2006,7,Denver Nuggets,2.9,history
2006,8,Detroit Pistons,-82.72,history
2006,9,Golden State Warriors,-13.52,history
2006,10,Houston Rockets,74.85,history
2006,11,Indiana Pacers,-2.52,history
2006,12,LA Clippers,-13.58,history
2006,13,Los Angeles Lakers,-26.41,history
2006,14,Miami Heat,7.78,history
2006,15,Milwaukee Bucks,-1.21,history
2006,16,Minnesota Timberwolves,7.57,history
