player_name,team_name,team_id,note
Giannis Antetokounmpo,Miami Heat,14,traded from MIL 2026 FA
Jaylen Brown,Philadelphia 76ers,20,traded from BOS for Paul George
Paul George,Boston Celtics,2,traded from PHI for Jaylen Brown
Kawhi Leonard,Toronto Raptors,28,2026 FA return to TOR
Ja Morant,Portland Trail Blazers,22,traded from MEM
LaMelo Ball,Minnesota Timberwolves,16,traded from CHA for Naz Reid
Josh Green,Minnesota Timberwolves,16,traded from CHA with LaMelo
Naz Reid,Charlotte Hornets,30,traded from MIN for LaMelo
Walker Kessler,Los Angeles Lakers,13,sign-and-trade from UTA
Deandre Ayton,Washington Wizards,27,traded from LAL
Anthony Davis,Washington Wizards,27,acquired by WAS
LeBron James,Philadelphia 76ers,20,2026 FA from LAL
Brandon Ingram,LA Clippers,12,agreed in the Kawhi trade; ON HOLD pending NBA investigation (verified 2026-07-27)
Gradey Dick,LA Clippers,12,agreed in the Kawhi trade; ON HOLD pending NBA investigation (verified 2026-07-27)
