PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
1642843,Cooper Flagg,2025,1,1,1
1642844,Dylan Harper,2025,1,2,2
1642845,VJ Edgecombe,2025,1,3,3
1642851,Kon Knueppel,2025,1,4,4
1642846,Ace Bailey,2025,1,5,5
1642848,Tre Johnson,2025,1,6,6
1642847,Jeremiah Fears,2025,1,7,7
1642856,Egor Dëmin,2025,1,8,8
1642867,Collin Murray-Boyles,2025,1,9,9
1642863,Khaman Maluach,2025,1,10,10
1642907,Cedric Coward,2025,1,11,11
1642855,Noa Essengue,2025,1,12,12
1642852,Derik Queen,2025,1,13,13
1642868,Carter Bryant,2025,1,14,14
1642850,Thomas Sorber,2025,1,15,15
1642905,Yang Hansen,2025,1,16,16
1642866,Joan Beringer,2025,1,17,17
1642383,Walter Clayton Jr.,2025,1,18,18
1642849,Nolan Traore,2025,1,19,19
1642857,Kasparas Jakučionis,2025,1,20,20
1642860,Will Riley,2025,1,21,21
1642962,Drake Powell,2025,1,22,22
1642854,Asa Newell,2025,1,23,23
1642363,Nique Clifford,2025,1,24,24
1642859,Jase Richardson,2025,1,25,25
1642879,Ben Saraf,2025,1,26,26
1642874,Danny Wolf,2025,1,27,27
1642864,Hugo González,2025,1,28,28
1642862,Liam McNeeley,2025,1,29,29
1642949,Yanic Konan Niederhäuser,2025,1,30,30
1642853,Rasheer Fleming,2025,2,1,31
1642869,Noah Penda,2025,2,2,32
1642883,Sion James,2025,2,3,33
1641750,Ryan Kalkbrenner,2025,2,4,34
1641780,Johni Broome,2025,2,5,35
1642876,Adou Thiero,2025,2,6,36
1642404,Chaz Lanier,2025,2,7,37
1642880,Kam Jones,2025,2,8,38
1642918,Alijah Martin,2025,2,9,39
1642877,Micah Peavy,2025,2,10,40
1642886,Koby Brea,2025,2,11,41
1642875,Maxime Raynaud,2025,2,12,42
1642364,Jamir Watkins,2025,2,13,43
1642964,Brooks Barnhizer,2025,2,14,44
